name,display_name,category,video_ref,course_id,seconds
Pain Navigator Introduction,Intro,Education,https://player.vimeo.com/video/547224919,1,470
Getting Started,Getting Started,Education,https://player.vimeo.com/video/547222311,1,1283
Pacing & SMART Goals,Pacing & SMART Goals,Education,https://player.vimeo.com/video/549646415,1,749
Understanding Your Spine,Understanding Your Spine,Education,https://player.vimeo.com/video/547222751,1,963
Pain Pathways,Pain Pathways,Education,https://player.vimeo.com/video/547222654,1,644
Chronic Pain & Stress and Quieting the Mind,Stress & Quieting the Mind,Education,https://player.vimeo.com/video/547268035,1,919
Nutrition Anti-Inflammatory Foods,Anti-Inflammatory Foods,Education,https://player.vimeo.com/video/547247931,1,520
Sleep Efficiency Introduction,Sleep Efficiency,Education,https://player.vimeo.com/video/547222549,1,388
Sleep Efficiency Stimulus Control & Processing Strategies,Sleep Efficiency Strategies,Education,https://player.vimeo.com/video/547294099,1,526
